CodeFigure_OriginatingCentres,Name_OriginatingCentres_fr,CodeFigure_SubCentres,Name_SubCentres_fr,Status
254,Centre d'exploitation d'EUMETSAT,120,"Ewa Beach, Hawaii"
254,Centre d'exploitation d'EUMETSAT,125,"Île de Ford, Hawaii"
254,Centre d'exploitation d'EUMETSAT,130,"Miami, Floride"
254,Centre d'exploitation d'EUMETSAT,140,Lannion (France)
254,Centre d'exploitation d'EUMETSAT,150,Svalbard (Norvège)
254,Centre d'exploitation d'EUMETSAT,170,Saint-Denis (La Réunion)
254,Centre d'exploitation d'EUMETSAT,180,Moscou
254,Centre d'exploitation d'EUMETSAT,190,Mascate
254,Centre d'exploitation d'EUMETSAT,200,Khabarovsk
254,Centre d'exploitation d'EUMETSAT,210,Novosibirsk
