Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status
532,Spire,Sonda de ocultación GNSS,SGNOS-C,Sistema mundial de navegación por satélite con sonda de ocultación Spire C,
533,Spire,Sonda de ocultación GNSS,SGNOS-D,Sistema mundial de navegación por satélite con sonda de ocultación Spire D,
534,PlanetiQ,Sonda de ocultación GNSS,Pyxis-A,Receptor de ocultación GNSS Pyxis-A de PlanetiQ,
535,PlanetiQ,Sonda de ocultación GNSS,Pyxis-B,Receptor de ocultación GNSS Pyxis-B de PlanetiQ,
540,NOAA,Comunicaciones,DCS (NOAA),Sistema de recopilación de datos (NOAA),
541,NOAA,Comunicaciones,Coms. GOES,Paquete de comunicaciones en GOES,
542,NOAA,Comunicaciones,Coms. LANDSAT,Paquete de comunicaciones para LANDSAT,
543,NOAA,Comunicaciones,Coms. NOAA,Paquete de comunicaciones para NOAA,
544,NOAA,Comunicaciones,S&R (GOES),Búsqueda y rescate,
545,NOAA,Comunicaciones,S&R (NOAA),Búsqueda y rescate,
546,NOAA,Comunicaciones,WEFAX,Facsímil meteorológico,
547,NOAA,Espectrómetro,SEM (GOES),Aparato de control del ambiente espacial,
550,NOAA,Campo magnético,SSM,Magnetómetro con sensor especial,
551,NOAA,Campo magnético,SSJ/4,Aparato de control del plasma precipitante con sensor especial,
552,NOAA,Medio espacial,SSIES-2,Medidor de centelleo/deriva del plasma ionosférico con sensor especial,
553,NOAA,Medio espacial,SSB/X-2,Detector de partículas de rayos gamma con sensor especial,
570,NOAA,Radiómetro,AMSU-A,Unidad de sondeo en microondas avanzada-A,
574,NOAA,Radiómetro,AMSU-B,Unidad de sondeo en microondas avanzada-B,
580,NOAA,Radiómetro,"ATOVS (HIRS/3
+ AMSU+ AVHRR/3)",Sonda vertical operativa TIROS avanzada,
590,NOAA,Radiómetro,AVHRR/2,Radiómetro avanzado de muy alta resolución/2,
591,NOAA,Radiómetro,AVHRR/3,Radiómetro avanzado de muy alta resolución/3,
592,NOAA,Radiómetro,AVHRR/4,Radiómetro avanzado de muy alta resolución/4,
600,NOAA,Radiómetro,ERBE,Experimento sobre el balance de la radiación terrena,
601,NOAA,Radiómetro,ETM+,Trazador temático cartográfico mejorado,
604,NOAA,Radiómetro,HIRS/1,Sonda infrarroja de alta resolución/1,
605,NOAA,Radiómetro,HIRS/2,Sonda infrarroja de alta resolución/2,
606,NOAA,Radiómetro,HIRS/3,Sonda infrarroja de alta resolución/3,
607,NOAA,Radiómetro,HIRS/4,Sonda infrarroja de alta resolución/4,
615,NOAA,Radiómetro,IMAGER,Imagenizador,
616,NOAA,Radiómetro productor de imágenes multiespectrales (vis/IR),VIIRS,Serie de radiómetro imagenizador visible/infrarrojo,
617,NOAA,Radiómetro multiespectral de obtención de imágenes,ABI,Generador avanzado de imágenes de base,
618,NOAA,Generador óptico de imágenes de alta resolución,GLM,Generador geoestacionario de mapas de rayos,
620,NOAA,Sonda para la temperaturaCrIRS/NP y humedad atmosféricas,,Sonda infrarroja transversal a la trayectoria/NPOESS,
621,NOAA,Sonda para la temperaturaATMS y humedad atmosféricas,,Sonda de microondas de tecnología avanzada,
622,NOAA,Radiómetro                      MSS,,Sistema de exploración multiespectral,
623,NOAA,Radiómetro                      MSU,,Unidad de sondeo en microondas,
624,NOAA,Radiómetro                      SBUV/2,,Instrumento ultravioleta de retrodispersión solar/2,
625,NOAA,Radiómetro                      SBUV/3,,Instrumento ultravioleta de retrodispersión solar/3,
626,NOAA,Radiómetro                      SOUNDER,,SOUNDER,
627,NOAA,Radiómetro                      SSU,,Unidad de sondeo estratosférico,
628,NOAA,Radiómetro                      TM,,Trazador temático cartográfico,
616,NOAA,Radiómetro productor       TOVS (HIRS/2 de imágenes                    + MSU + SSU) multiespectrales (vis/IR),,Sonda vertical operativa TIROS,
630,NOAA,Radiómetro                      VAS,,Sonda atmosférica VISSR,
631,NOAA,Radiómetro                      SSZ,,,
645,NOAA,Espectrómetro                  SEM,,Monitor del medio ambiente espacial,
650,NRSCC,Radiómetro                      MVIRSR (canal 10),,Radiómetro de exploración visible e infrarrojo multiespectral,
651,NRSCC,Radiómetro                      MVIRSR (canal 3),,Radiómetro de exploración visible e infrarrojo multiespectral,
652,NRSCC,Radiómetro                      MVIRSR (canal 5),,Radiómetro de exploración visible e infrarrojo multiespectral,
670,NSAU,Radar                              RLSBO,,Radar de microondas de orientación lateral,
680,NSAU,Productor de imágenes      MSU-EU ópticas de alta resolución,,Radiómetro multiespectral de alta resolución,
681,NSAU,"Radiómetro productor       MSU-UM de imágenes
multiespectrales (vis/IR)",,Radiómetro multiespectral visible,
682,NSAU,Radiómetro                      RM-08,,Radiómetro de imagenización por microondas,
683,NSAU,Productor de imágenes      SU-UMS ópticas de alta resolución,,Estereorradiómetro de alta resolución,
684,NSAU,Productor de imágenes      SU-VR ópticas de alta resolución,,Radiómetro visible de alta resolución,
685,NSAU,Radiómetro                      TRASSER,,,
686,SOA,Dispersómetro                  SCAT,,Dispersómetro,
687,SOA,Altímetro de radar            ALT,,Altímetro de radar,
688,SOA,Radiómetro de microondas MWI,,Radiómetro de microondas,
700,ROSCOSMOS,Comunicaciones,KONDOR-2,Sistema de recopilación y transmisión de datos,
701,ROSCOSMOS,Comunicaciones,BRK,,
710,ROSCOSMOS,Lidar,ALISSA,Lidar de retrodispersión,
712,ROSCOSMOS,Lidar,Balkan-2 lidar,,
715,ROSCOSMOS,Lidar,MK-4,,
716,ROSCOSMOS,Lidar,MK-4M,,
730,ROSCOSMOS,Radar,Greben,Altímetro de radar,
731,ROSCOSMOS,Radar,SAR-10,Radar de abertura sintética,
732,ROSCOSMOS,Radar,SAR-3,Radar de abertura sintética,
733,ROSCOSMOS,Radar,SAR-70,Radar de abertura sintética,
740,ROSCOSMOS,Radar,SLR-3,Radar de orientación lateral,
745,ROSCOSMOS,Radar,Travers SAR,,
750,ROSCOSMOS,Radiómetro,174-K,Perfilador de temperatura y humedad,
751,ROSCOSMOS,Radiómetro,BTVK,Radiómetro de televisión por exploración,
752,ROSCOSMOS,Radiómetro,Chaika,Radiómetro infrarrojo por exploración,
753,ROSCOSMOS,Radiómetro,DELTA-2,Explorador multiespectral en microondas,
755,ROSCOSMOS,Radiómetro,IKAR-D,Explorador multiespectral en microondas,
756,ROSCOSMOS,Radiómetro,IKAR-N,Explorador multiespectral en microondas,
757,ROSCOSMOS,Radiómetro,IKAR-P,Explorador multiespectral en microondas,
760,ROSCOSMOS,Radiómetro,ISP,,
761,ROSCOSMOS,Radiómetro,KFA-1000,Cámara fotográfica,
762,ROSCOSMOS,Radiómetro,KFA-200,Cámara fotográfica,
763,ROSCOSMOS,Radiómetro,KFA-3000,Cámara fotográfica,
770,ROSCOSMOS,Radiómetro,Klimat,Radiómetro infrarrojo por exploración,
771,ROSCOSMOS,Radiómetro,Klimat-2,Radiómetro infrarrojo por exploración,
775,ROSCOSMOS,Radiómetro,MIRAS,,
776,ROSCOSMOS,Radiómetro,MIVZA,,
777,ROSCOSMOS,Radiómetro,MIVZA-M,Radiómetro de exploración en microondas,
780,ROSCOSMOS,Radiómetro,MR-2000,,
781,ROSCOSMOS,Radiómetro,MR-2000M,,
785,ROSCOSMOS,Radiómetro,MR-900,Telefotómetro de exploración,
786,ROSCOSMOS,Radiómetro,MR-900B,Telefotómetro de exploración en banda visual,
790,ROSCOSMOS,,MSU-E,Explorador electrónico multiespectral de alta resolución,
791,ROSCOSMOS,,MSU-E1,Explorador electrónico multiespectral de alta resolución,
792,ROSCOSMOS,Radiómetro,MSU-E2,Explorador electrónico multiespectral de alta resolución,
793,ROSCOSMOS,Radiómetro,MSU-M,,
794,ROSCOSMOS,Radiómetro,MSU-S,Explorador electrónico multiespectral de resolución media,
795,ROSCOSMOS,Radiómetro,MSU-SK,Explorador cónico multiespectral de resolución media,
796,ROSCOSMOS,Radiómetro,MSU-V,Explorador cónico multiespectral de alta resolución,
810,ROSCOSMOS,Radiómetro,MTZA,Radiómetro de microondas por exploración,
815,ROSCOSMOS,Radiómetro productor de imágenes multiespectrales (microondas pasivo),MZOAS,Radiómetro de microondas por exploración,
820,ROSCOSMOS,Radiómetro productor de imágenes multiespectrales (microondas pasivo),R-225,Radiómetro de microondas de canal único,
933,NRSCC,Sonda para la temperaturaIRAS y humedad atmosféricas,,Sonda atmosférica infrarroja,
934,NRSCC,Sonda para la temperaturaMWAS y humedad atmosféricas,,Sonda atmosférica por microondas,
935,NRSCC,Sonda para la temperaturaIMWAS y humedad atmosféricas,,Sonda atmosférica por microondas mejorada,
936,NRSCC,Sonda para la temperaturaMWHS y humedad atmosféricas,,Sonda de humedad por microondas,
937,NRSCC,Radiómetro productor de   MVIRS imágenes multiespectrales (vis/IR),,Espectrorradiómetro de obtención de imágenes visibles e infrarrojas de resolución moderada,
938,NRSCC,Radiómetro productor de   MWRI imágenes multiespectrales (microondas pasivo),,Imagenizador de radiación por microondas,
940,ROSCOSMOS,Sonda para la temperaturaMTVZA-OK y humedad atmosféricas,,Radiómetro de microondas por exploración,
941,CNES,Sonda para la temperaturaSAPHIR y humedad atmosféricas,,,
942,CNES,Productor de imágenes      MADRAS por microondas,,Análisis y detección por microondas de estructuras pluviales y atmosféricas,
943,CNSA,Dispersómetro                  SCAT (en CFOSAT),,Dispersómetro,
944,NOAA,Altímetro de radar            ALT,,Altímetro,
945,NOAA,Radiómetro del balance     TSIS de radiación de la Tierra,,Sensor de la irradiancia solar total,
946,NOAA,"Radiómetro productor       CMIS de imágenes
multiespectrales (microondas pasivo)",,Imagenizador/sonda de microondas por exploración cónica,
947,NOAA,Ozono total y perfil del      OMPS ozono,,Serie cartográfica y perfiladora del ozono,
948,NOAA,"Sonda para la temperaturaGPSOS y humedad atmosféricas
del medio espacial",,Sensor de ocultación del sistema de posicionamiento mundial,
949,NOAA,"Campo magnético, límite   SESS de centelleo de imágenes aurorales",,Serie de sensores del medio espacial,
950,NRSCC,"Radiómetro productor       VIRR de imágenes
multiespectrales (vis/IR)",,Radiómetro de exploración visible e infrarrojo multiespectral (10 canales),
951,NRSCC,Ozono total y perfil del      TOM ozono,,Cartografía del ozono total,
952,NRSCC,Ozono total y perfil del      OP ozono,,Perfilador del ozono,
